# Custom (app/cdroid) attr name -> resource ID. Append-only stable.
# Single source of truth; aapt2 public.xml will pin the same IDs.
# Format: 0xID NAME

0x02010000 keylines
0x02010001 statusBarBackground
0x02010002 layout_behavior
0x02010003 layout_anchor
0x02010004 layout_keyline
0x02010005 layout_anchorGravity
0x02010006 layout_insetEdge
0x02010007 layout_dodgeInsetEdges
0x02010008 flexDirection
0x02010009 flexWrap
0x0201000a justifyContent
0x0201000b alignItems
0x0201000c alignContent
0x0201000d layout_order
0x0201000e layout_flexBasisPercent
0x0201000f layout_flexGrow
0x02010010 layout_flexShrink
0x02010011 layout_alignSelf
0x02010012 layout_wrapBefore
0x02010013 layout_optimizationLevel
0x02010014 layoutDescription
0x02010015 constraintSet
0x02010016 barrierDirection
0x02010017 barrierAllowsGoneWidgets
0x02010018 barrierMargin
0x02010019 constraint_referenced_ids
0x0201001a constraint_referenced_tags
0x0201001b chainUseRtl
0x0201001c flow_horizontalStyle
0x0201001d flow_verticalStyle
0x0201001e flow_wrapMode
0x0201001f flow_maxElementsWrap
0x02010020 flow_horizontalGap
0x02010021 flow_verticalGap
0x02010022 flow_verticalAlign
0x02010023 flow_horizontalAlign
0x02010024 flow_verticalBias
0x02010025 flow_horizontalBias
0x02010026 flow_firstHorizontalStyle
0x02010027 flow_firstVerticalStyle
0x02010028 flow_firstHorizontalBias
0x02010029 flow_firstVerticalBias
0x0201002a flow_lastHorizontalStyle
0x0201002b flow_lastVerticalStyle
0x0201002c flow_lastHorizontalBias
0x0201002d flow_lastVerticalBias
0x0201002e circularflow_radiusInDP
0x0201002f circularflow_angles
0x02010030 circularflow_viewCenter
0x02010031 circularflow_defaultRadius
0x02010032 circularflow_defaultAngle
0x02010033 layout_constraintCircle
0x02010034 layout_constraintCircleRadius
0x02010035 layout_constraintCircleAngle
0x02010036 layout_constraintGuide_begin
0x02010037 layout_constraintGuide_end
0x02010038 layout_constraintGuide_percent
0x02010039 guidelineUseRtl
0x0201003a layout_constraintLeft_toLeftOf
0x0201003b layout_constraintLeft_toRightOf
0x0201003c layout_constraintRight_toLeftOf
0x0201003d layout_constraintRight_toRightOf
0x0201003e layout_constraintTop_toTopOf
0x0201003f layout_constraintTop_toBottomOf
0x02010040 layout_constraintBottom_toTopOf
0x02010041 layout_constraintBottom_toBottomOf
0x02010042 layout_constraintBaseline_toBaselineOf
0x02010043 layout_constraintBaseline_toTopOf
0x02010044 layout_constraintBaseline_toBottomOf
0x02010045 layout_constraintStart_toEndOf
0x02010046 layout_constraintStart_toStartOf
0x02010047 layout_constraintEnd_toStartOf
0x02010048 layout_constraintEnd_toEndOf
0x02010049 layout_goneMarginLeft
0x0201004a layout_goneMarginTop
0x0201004b layout_goneMarginRight
0x0201004c layout_goneMarginBottom
0x0201004d layout_goneMarginStart
0x0201004e layout_goneMarginEnd
0x0201004f layout_goneMarginBaseline
0x02010050 layout_marginBaseline
0x02010051 layout_constraintWidth
0x02010052 layout_constraintHeight
0x02010053 layout_constrainedWidth
0x02010054 layout_constrainedHeight
0x02010055 layout_constraintHorizontal_bias
0x02010056 layout_constraintVertical_bias
0x02010057 layout_constraintWidth_default
0x02010058 layout_constraintHeight_default
0x02010059 layout_constraintWidth_min
0x0201005a layout_constraintWidth_max
0x0201005b layout_constraintWidth_percent
0x0201005c layout_constraintHeight_min
0x0201005d layout_constraintHeight_max
