# Framework attr name -> resource ID. GENERATED by gen_framework_attrids.sh.
# Public from:  /opt/android-sdk/platforms/android-36/data/res/values/public-final.xml
# Private from: scripts/private-final.xml
# Format: 0xID NAME

0x01010000 theme
0x01010001 label
0x01010002 icon
0x01010003 name
0x01010004 manageSpaceActivity
0x01010005 allowClearUserData
0x01010006 permission
0x01010007 readPermission
0x01010008 writePermission
0x01010009 protectionLevel
0x0101000a permissionGroup
0x0101000b sharedUserId
0x0101000c hasCode
0x0101000d persistent
0x0101000e enabled
0x0101000f debuggable
0x01010010 exported
0x01010011 process
0x01010012 taskAffinity
0x01010013 multiprocess
0x01010014 finishOnTaskLaunch
0x01010015 clearTaskOnLaunch
0x01010016 stateNotNeeded
0x01010017 excludeFromRecents
0x01010018 authorities
0x01010019 syncable
0x0101001a initOrder
0x0101001b grantUriPermissions
0x0101001c priority
0x0101001d launchMode
0x0101001e screenOrientation
0x0101001f configChanges
0x01010020 description
0x01010021 targetPackage
0x01010022 handleProfiling
0x01010023 functionalTest
0x01010024 value
0x01010025 resource
0x01010026 mimeType
0x01010027 scheme
0x01010028 host
0x01010029 port
0x0101002a path
0x0101002b pathPrefix
0x0101002c pathPattern
0x0101002d action
0x0101002e data
0x0101002f targetClass
0x01010030 colorForeground
0x01010031 colorBackground
0x01010032 backgroundDimAmount
0x01010033 disabledAlpha
0x01010034 textAppearance
0x01010035 textAppearanceInverse
0x01010036 textColorPrimary
0x01010037 textColorPrimaryDisableOnly
0x01010038 textColorSecondary
0x01010039 textColorPrimaryInverse
0x0101003a textColorSecondaryInverse
0x0101003b textColorPrimaryNoDisable
0x0101003c textColorSecondaryNoDisable
0x0101003d textColorPrimaryInverseNoDisable
0x0101003e textColorSecondaryInverseNoDisable
0x0101003f textColorHintInverse
0x01010040 textAppearanceLarge
0x01010041 textAppearanceMedium
0x01010042 textAppearanceSmall
0x01010043 textAppearanceLargeInverse
0x01010044 textAppearanceMediumInverse
0x01010045 textAppearanceSmallInverse
0x01010046 textCheckMark
0x01010047 textCheckMarkInverse
0x01010048 buttonStyle
0x01010049 buttonStyleSmall
0x0101004a buttonStyleInset
0x0101004b buttonStyleToggle
0x0101004c galleryItemBackground
0x0101004d listPreferredItemHeight
0x0101004e expandableListPreferredItemPaddingLeft
0x0101004f expandableListPreferredChildPaddingLeft
0x01010050 expandableListPreferredItemIndicatorLeft
0x01010051 expandableListPreferredItemIndicatorRight
0x01010052 expandableListPreferredChildIndicatorLeft
0x01010053 expandableListPreferredChildIndicatorRight
0x01010054 windowBackground
0x01010055 windowFrame
0x01010056 windowNoTitle
0x01010057 windowIsFloating
0x01010058 windowIsTranslucent
0x01010059 windowContentOverlay
0x0101005a windowTitleSize
0x0101005b windowTitleStyle
0x0101005c windowTitleBackgroundStyle
0x0101005d alertDialogStyle
0x0101005e panelBackground
0x0101005f panelFullBackground
0x01010060 panelColorForeground
0x01010061 panelColorBackground
0x01010062 panelTextAppearance
0x01010063 scrollbarSize
0x01010064 scrollbarThumbHorizontal
0x01010065 scrollbarThumbVertical
0x01010066 scrollbarTrackHorizontal
0x01010067 scrollbarTrackVertical
0x01010068 scrollbarAlwaysDrawHorizontalTrack
0x01010069 scrollbarAlwaysDrawVerticalTrack
0x0101006a absListViewStyle
0x0101006b autoCompleteTextViewStyle
0x0101006c checkboxStyle
0x0101006d dropDownListViewStyle
0x0101006e editTextStyle
0x0101006f expandableListViewStyle
0x01010070 galleryStyle
0x01010071 gridViewStyle
0x01010072 imageButtonStyle
0x01010073 imageWellStyle
0x01010074 listViewStyle
0x01010075 listViewWhiteStyle
0x01010076 popupWindowStyle
0x01010077 progressBarStyle
0x01010078 progressBarStyleHorizontal
0x01010079 progressBarStyleSmall
0x0101007a progressBarStyleLarge
0x0101007b seekBarStyle
0x0101007c ratingBarStyle
